id,tahun,source,jenis_bansos,question,answer,length
294,2023,Peraturan Menteri Sosial Republik Indonesia Nomor 7 Tahun 2023,PENA,"Siapa yang menetapkan batas nilai bantuan usaha dalam Program PENA, dan bagaimana kategorisasi penentuannya?","Batas nilai bantuan usaha dalam program pena ditetapkan oleh direktorat jenderal yang membidangi pemberdayaan sosial, rehabilitasi sosial, atau perlindungan dan jaminan sosial.",284
295,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,RST,Apa komponen yang harus ada dalam laporan pertanggungjawaban setelah rehabilitasi selesai?,"Laporan harus memuat berita acara serah terima, realisasi anggaran, kuitansi asli dan faktur pembelian, fotokopi buku tabungan, serta dokumentasi rumah sebelum, selama, dan sesudah rehabilitasi.",284
296,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Bagaimana cara penanganan fakir miskin?,"Penanganan fakir miskin dilakukan melalui pemberdayaan kelembagaan masyarakat, peningkatan kapasitas fakir miskin, jaminan dan perlindungan sosial, kemitraan antar pemangku kepentingan, serta koordinasi kementerian lembaga dan pemerintah daerah.",284
297,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Apa peraturan yang mengatur pertanggungjawaban penyaluran Bantuan ATENSI Anak Yatim Piatu?,Pertanggungjawaban penyaluran bantuan atensi anak yatim piatu diatur oleh peraturan belanja bantuan sosial kementerian lembaga dari menteri keuangan. Peraturan bantuan sosial dari menteri sosial.,285
298,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa tugas supervisor pekerjan sosial dalam program PKH?,"Supervisor pekerjaan sosial bertugas melakukan pemantauan, supervisi, evaluasi, pembuatan laporan, dan menangani pengaduan terkait pelaksanaan program PKH, khususnya dalam pertemuan peningkatan kemampuan keluarga dan manajemen kasus.",288
299,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Apa yang harus diperhatikan dalam penanganan fakir miskin melalui pendekatan wilayah?,"Penanganan fakir miskin dengan pendekatan wilayah harus memperhatikan kearifan lokal, seperti wilayah perdesaan, perkotaan, pesisir, pulau kecil, wilayah tertinggal, terpencil, dan perbatasan antarnegara.",289
300,2012,Peraturan Pemerintah Republik Indonesia Nomor 101 Tahun 2012,PBI,Kapan dilakukan penambahan peserta program PBI?,"Penambahan peserta dilakukan jika pekerja mengalami phk dan belum bekerja lebih dari 6 bulan, korban bencana, pekerja memasuki masa pensiun, anggota keluarga pekerja meninggal, atau anak dari orang tua terdaftar sebagai PBI jaminan kesehatan.",289
301,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Apa itu wali pada program ATENSI?,"Wali adalah orang yang memiliki hubungan darah atau ditunjuk untuk mengurus kepentingan anak, dibuktikan dengan surat keterangan dari instansi terkait seperti direktorat rehabilitasi sosial anak, dinas sosial, atau lembaga yang disahkan desa atau kelurahan.",290
302,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Apa yang harus dilakukan peserta PBI Jaminan Kesehatan yang telah dihapus agar bisa kembali terdaftar?,Peserta PBI jaminan kesehatan yang dihapus harus memperbaiki data kependudukan dalam waktu maksimal enam bulan dengan melapor ke dinas sosial kabupaten kota untuk diusulkan kembali ke DTKS.,291
303,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Apa sarana dan prasarana yang diperlukan dalam penanganan fakir miskin?,"Sarana dan prasarana meliputi panti sosial, pusat rehabilitasi sosial, pusat pendidikan dan pelatihan, pusat kesejahteraan sosial, rumah singgah, dan rumah perlindungan sosial. Standar minimum ditetapkan oleh pemerintah.",291
304,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Bagaimana pengendalian terhadap pelaksanaan PKH PKH dilakukan?,Pengendalian pelaksanaan PKH mengacu pada peraturan belanja kementerian lembaga dari menteri keuangan dan peraturan menteri sosial terkait PKH. Tujuannya memastikan pelaksanaan sesuai standar keuangan negara dan kebijakan sosial.,291
305,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Bagaimana cara peserta PBI Jaminan Kesehatan yang sudah tidak terdaftar melaporkan penghapusan dirinya?,Peserta PBI jaminan kesehatan yang tidak terdaftar dapat melapor ke kantor cabang atau layanan BPJS Kesehatan di kabupaten kota dengan surat pernyataan bermaterai dan fotokopi KIS atau KTP.,292
306,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Siapa yang bisa dikecualikan dari penyaluran nontunai PKH?,"Penyaluran nontunai PKH bisa dikecualikan bagi penyandang disabilitas berat, lansia terlantar nonpotensial, eks penderita penyakit kronis nonpotensial, komunitas adat terpencil, dan daerah tanpa infrastruktur penyaluran nontunai.",287
307,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Kenapa perlu dilakukan penggantian peserta PBI Jaminan Kesehatan?,"Penggantian peserta PBI jaminan kesehatan dilakukan jika ada peserta dalam DTKS yang belum terdaftar sebagai peserta aktif BPJS Kesehatan, terjadi penghapusan data PBI, dan jumlah peserta pengganti tidak melebihi batas nasional.",293
308,2025,,DTKS,"Pengusulan bantuan sosial sudah sejak lama, bagaimana bisa tahu hasilnya?","Jika sudah melakukan pengusulan, silakan menunggu prosesnya. Verifikasi akan dilakukan oleh dinas sosial setempat atau pendamping lapangan. Untuk percepatan informasi bisa menghubungi langsung dinas sosial wilayah setempat.",296
309,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Berapa nilai maksimal bantuan usaha dalam Program PENA dan untuk apa dana tersebut digunakan?,"Bantuan usaha maksimal Rp5.000.000 per KPM pena. Dana digunakan untuk membeli peralatan usaha, bahan baku, dan kebutuhan usaha lain. Dana tidak boleh dialihkan atau digunakan untuk kebutuhan selain usaha.",297
310,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Bagaimana pengelolaan sumber dana lain yang sah untuk penanganan fakir miskin?,"Sumber dana lain yang sah berupa sumbangan masyarakat dikUMPulkan dan digunakan oleh menteri, gubernur, dan bupati atau walikota sesuai kewenangannya. cara pengUMPulan dan penggunaan diatur melalui peraturan pemerintah.",297
311,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Layanan apa yang dapat diterima oleh peserta PBI Jaminan Kesehatan?,Peserta PBI jaminan kesehatan menerima layanan medis dan bantuan iuran. Layanan medis meliputi berbagai perawatan kesehatan. Bantuan iuran adalah dukungan pemerintah untuk membayar iuran jaminan kesehatan peserta yang membutuhkan.,297
312,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 30/4/HK.01/2/2024,PERMAKANAN,Apa komponen yang harus dicantumkan dalam laporan pertanggungjawaban bulanan melalui aplikasi SIKSMA?,"Laporan bulanan melalui aplikasi SIKSMA harus memuat bast, penggunaan dana, foto dokumentasi penyerahan makanan, menu makanan, daftar KPM, dan tanda terima penerima sebagai bukti penerimaan bantuan.",299
313,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa itu Pemberi Bantuan Sosial?,"Pemberi bantuan sosial adalah satuan kerja pada kementerian lembaga pemerintah pusat atau perangkat daerah yang melaksanakan program penanggulangan kemiskinan, meliputi perlindungan sosial, jaminan sosial, pemberdayaan sosial, rehabilitasi sosial, dan pelayanan dasar.",299
314,2025,,DTKS,"Nama saya tercatat sebagai penerima bantuan sosial, tapi sampai sekarang belum pernah menerima bantuan. Apa yang harus dilakukan?","Silakan cek pada aplikasi Cekbansos dengan memasukkan data identitas, hasil pengecekan akan menentukan status penerimaan bantuan sosial, atau hubungi dinas sosial setempat.",301
315,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Bagaimana aplikasi SIKSMA digunakan dalam proses monitoring pelaksanaan bantuan permakanan?,"Monitoring bantuan permakanan dilakukan periodik melalui aplikasi SIKSMA. Aplikasi ini menampilkan data real time seperti jumlah pokmas penyalur, jumlah KPM, penyaluran harian, laporan bulanan, dan laporan kas.",301
316,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Apa tugas dan tanggung jawab UPT dalam pelaksanaan Bantuan ATENSI Anak Yatim Piatu?,"Upt bertugas mengusulkan data penerima melalui siks gis, melaksanakan edukasi dan sosialisasi bantuan, memantau dan evaluasi program di wilayahnya, serta menyediakan layanan rehabilitasi sosial lanjutan jika diperlukan.",302
317,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Siapa yang dapat mengajukan perbaikan data peserta PBI Jaminan Kesehatan?,Perbaikan data peserta PBI jaminan kesehatan dapat diajukan oleh BPJS Kesehatan atau dinas sosial kabupaten kota. Usulan harus berdasarkan data kependudukan resmi dari ditjen dukcapil dan disertai dokumen kependudukan yang valid.,302
318,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa tugas Tim Koordinasi Teknis PKH di tingkat provinsi?,"Tim koordinasi teknis PKH di tingkat provinsi bertugas menyusun rencana kegiatan PKH, memastikan dukungan anggaran daerah, berkoordinasi dengan instansi terkait, memantau pelaksanaan program, dan menyusun laporan kegiatan PKH di tingkat provinsi.",302
319,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu Pelaksana Program Permakanan?,"Pelaksana program permakanan adalah kelompok masyarakat yang melaksanakan pemberian permakanan, ditetapkan oleh pejabat pembuat komitmen di direktorat rehabilitasi sosial lansia dan disahkan oleh kuasa pengguna anggaran direktorat jenderal rehabilitasi sosial.",297
320,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Apa yang dilakukan pemerintah untuk menangani fakir miskin di wilayah perkotaan?,"Pemerintah menyediakan sumber mata pencaharian di sektor usaha informal, memberikan bantuan permodalan dan akses pemasaran, mengembangkan lingkungan pemukiman sehat, serta meningkatkan rasa aman dari kekerasan dan kejahatan.",304
321,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,"Bagaimana bantuan usaha diberikan kepada KPM PENA, dan apa tujuannya?","Bantuan usaha diberikan melalui penguatan produksi untuk meningkatkan kapasitas dan pengembangan usaha KPM pena. Tujuannya agar KPM pena dapat mengelola usaha mandiri, memperoleh pendapatan lebih baik, dan mencapai kemandirian ekonomi.",304
322,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Apa tanggung jawab pemerintah dan pemerintah daerah dalam pelayanan kesehatan bagi fakir miskin?,"Pemerintah dan pemerintah daerah bertanggung jawab menyediakan pelayanan kesehatan promotif, preventif, kuratif, dan rehabilitatif bagi fakir miskin. Pembiayaan dilakukan melalui sistem jaminan sosial nasional.",306
323,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa peran Pemerintah Provinsi dalam mendukung pelaksanaan Program PENA?,"Pemerintah provinsi bertugas mendukung penguatan regulasi untuk mereplikasi program pena di kabupaten kota. Pemerintah provinsi juga melakukan koordinasi, pembinaan, dan pengawasan pelaksanaan program pena melalui dinas sosial provinsi.",307
324,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa tujuan utama evaluasi program Bantuan Permakanan bagi Lansia keluarga tunggal dan aspek yang dinilai?,Evaluasi bertujuan menilai pelaksanaan bantuan sesuai petunjuk teknis dan mengukur dampak program pada kesejahteraan lansia keluarga tunggal. Aspek yang dinilai adalah evaluasi proses dan evaluasi hasil.,308
325,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,RST,Bagaimana bentuk pendampingan berkelanjutan bagi penerima bantuan Rehabilitasi RUS?,"Setelah 90 hari pencairan, unit kerja eselon i yang menangani pena, atensi, atau bantuan sosial lain melakukan pendampingan berkelanjutan. Tujuannya memastikan tempat usaha digunakan optimal dan mendukung kemandirian ekonomi.",308
326,2025,,DTKS,Bagaimana cara menghapus peserta yang sudah meninggal di DTKS?,"Masyarakat yang terkonfirmasi meninggal berdasarkan data resmi seperti dukcapil, bpjs kesehatan, atau pemerintah daerah tidak layak mendapatkan bantuan sosial. Atau dapat melaporkannya ke dinas sosial setempat dengan membawa dokumen akta kematian.",309
327,2021,Peraturan Menteri Sosial Republik Indonesia Nomor 3 Tahun 2021,DTKS,Apa itu pengelolaan data?,"Pengelolaan data adalah kegiatan mengatur, menyimpan, dan memelihara data secara sistematis. Meliputi usulan, verifikasi, validasi, penetapan, dan penggunaan data untuk memastikan aksesibilitas, keandalan, ketepatan waktu, dan akuntabilitas dalam penyelenggaraan kesejahteraan sosial.",309
328,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 30/4/HK.01/2/2024,PERMAKANAN,Siapa pihak utama yang bertanggung jawab dalam pelaksanaan pertanggungjawaban Bantuan Permakanan ODHIV dan apa kewajiban mereka?,"Tiga pihak utama bertanggung jawab PPK, pos penyalur, dan pelaksana bantuan permakanan melalui pokmas. Mereka wajib menyusun dan melaporkan dokumen pertanggungjawaban secara berkala.",310
329,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Apa tanggung jawab pemerintah dan pemerintah daerah dalam penyediaan akses kesempatan kerja dan berusaha bagi fakir miskin?,"Pemerintah dan pemerintah daerah menyediakan akses kerja dan usaha bagi fakir miskin melalui informasi lapangan kerja, pelatihan keterampilan, dukungan usaha mikro, dan bantuan permodalan.",311
330,2025,,BPNT,Mengapa saldo KKS saya kosong padahal tercatat sebagai penerima bantuan sosial?,"Cek kembali periode pencairan bantuan melalui aplikasi Cekbansos atau ke dinas sosial setempat. Jika data sudah ada namun bantuan tidak diterima, segera laporkan dengan menyertakan nama lengkap dan NIK untuk ditelusuri lebih lanjut.",311
331,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Apa kualifikasi tenaga penanganan fakir miskin?,"Tenaga penanganan fakir miskin minimal memiliki pendidikan di bidang kesejahteraan sosial, pelatihan dan keterampilan pelayanan sosial, atau pengalaman melaksanakan pelayanan sosial. Mereka dapat memperoleh pendidikan, pelatihan, penghargaan, promosi, dan tunjangan.",313
332,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,"Apa peran tenaga bantuan teknis seperti koordinator regional, koordinator wilayah, dan koordinator daerah dalam PKH?","Tenaga bantuan teknis memberikan dukungan teknis dalam pelaksanaan PKH, termasuk validasi data, terminasi peserta, bantuan sosial, peningkatan kemampuan keluarga, dan pengelolaan sumber daya program.",315
333,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa ketentuan biaya pengantaran Permakanan bagi Lansia dan cara pendistribusiannya ke rumah KPM?,Biaya pengantaran permakanan dialokasikan melalui akun 521233 sebesar Rp2.000 per orang per hari untuk satu kali pengantaran. Dana ini diberikan kepada pokmas untuk mendistribusikan makanan langsung ke rumah lansia KPM.,315
334,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Bagaimana cara memperbaiki kriteria kemiskinan dan siapa yang bisa diganti pengurusnya pada DTKS?,Perbaikan kriteria kemiskinan dilakukan dengan mengisi survei kriteria kemiskinan dan geotag foto rumah melalui aplikasi SIKSNG oleh dinas sosial. Pergantian pengurus hanya untuk penerima bantuan sosial yang masih aktif.,317
335,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Bagaimana proses rekonsiliasi hasil penyaluran bantuan sosial PKH dilakukan?,"Rekonsiliasi penyaluran PKH dilakukan setiap tahap atau sesuai kebutuhan, berjenjang dari kabupaten kota hingga pusat, melibatkan pelaksana PKH dan bank penyalur. cara diatur dalam keputusan direktur jenderal perlindungan dan jaminan sosial.",317
336,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa tahapan utama dalam cara pelaksanaan PKH?,"Tahapan utama cara pelaksanaan PKH meliputi perencanaan, penetapan calon peserta, validasi data calon KPM, penetapan KPM, penyaluran bantuan sosial, pendampingan, peningkatan kemampuan keluarga, verifikasi komitmen KPM, pemutakhiran data, dan transformasi kepesertaan PKH.",317
337,2025,,DTKS,"Bagaimana jika tidak bisa login di aplikasi Cekbansos, padahal sudah terdaftar?","Pastikan email dan password sesuai dengan yang digunakan saat pengusulan. Periksa juga email dari kemensos yang berisi detail akun. Jika masih terkendala, silakan gunakan fitur lupa password di aplikasi atau hubungi dinas sosial setempat.",317
338,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu Pemerlu Pelayanan Kesejahteraan Sosial atau PPKS?,"PPKs adalah individu, keluarga, kelompok, atau masyarakat yang mengalami hambatan, kesulitan, atau gangguan sehingga tidak dapat menjalankan fungsi sosialnya dan memerlukan pelayanan sosial untuk memenuhi kebutuhan hidup jasmani, rohani, dan sosial secara wajar.",319
339,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Apa itu anak KPM pada program ATENSI atau YAPI?,"Anak KPM adalah anak yatim piatu yang mengalami hambatan atau gangguan sehingga tidak dapat menjalankan fungsi sosialnya dan memerlukan pelayanan sosial untuk memenuhi kebutuhan jasmani, rohani, dan sosial secara wajar sesuai ketentuan direktorat rehabilitasi sosial anak.",319
340,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Bagaimana masyarakat dapat ikut serta dalam mengawasi pelaksanaan PKH?,Laporan pelaksanaan PKH disampaikan oleh bupati atau wali kota melalui dinas sosial kabupaten kota ke gubernur. Gubernur melaporkan ke tim koordinasi nasional PKH melalui dinas sosial provinsi. Laporan meliputi pelaksanaan dan pertanggungjawaban PKH.,320
341,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Siapa pihak yang bertanggung jawab dalam pelaksanaan dan pengawasan Program Bantuan Permakanan bagi Penyandang Disabilitas?,"Pihak yang bertanggung jawab meliputi PPK, pos penyalur, pelaksana bantuan permakanan, Kemensos, dinas sosial provinsi, dinas sosial kabupaten kota, camat atau kepala distrik, dan pendamping sosial.",321
342,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Bagaimana proses penetapan kembali peserta PBI Jaminan Kesehatan yang telah dihapus?,"Jika peserta yang dihapus masih memenuhi kriteria PBI jaminan kesehatan, menteri menetapkan kembali peserta tersebut setelah verifikasi dan validasi data terbaru. Peserta resmi masuk daftar penerima pada siklus penetapan data berikutnya.",321
343,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 30/4/HK.01/2/2024,PERMAKANAN,Bagaimana cara pengusulan pelaksana Bantuan Permakanan bagi ODHIV sesuai peraturan?,Pilih pelaksana bantuan permakanan ODHIV sesuai aturan pengadaan barang atau jasa pemerintah. Pelaksana menunjuk petugas kirim yang ditetapkan ketua pokmas dan diberitahukan ke PPK di direktorat rehabilitasi sosial penyandang disabilitas.,321
344,2024,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 95/5/SK/HK.01/04/2024,BPNT,Apa tugas bupati atau wali kota dalam mengelola data dan pelaksanaan Program Sembako?,"Bupati atau wali kota mengusulkan data calon KPM dari DTKS, menambah atau menghapus KPM lewat SIKSNG, melakukan sosialisasi, pendampingan, pengawasan, dan melaporkan pelaksanaan program kepada menteri sosial dengan tembusan ke gubernur.",321
345,2024,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 95/5/SK/HK.01/04/2024,BPNT,"Siapa yang bertanggung jawab dalam penyaluran Bantuan Sosial Program Sembako, dan bagaimana proses penyalurannya dilakukan?",Penyaluran bantuan sosial program sembako dilakukan oleh pelaksana program sembako bekerja sama dengan bank atau pos penyalur. Proses ini memastikan dana bantuan tersalurkan tepat sasaran kepada KPM.,322
346,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Bagaimana hasil musyawarah desa atau kelurahan dipublikasikan dan diunggah pada DTKS?,"Hasil musyawarah desa atau kelurahan dipublikasikan melalui media desa atau kelurahan. Berita acara, daftar hadir, foto kegiatan, foto publikasi, dan data hasil musyawarah diunggah ke aplikasi SIKSNG oleh pengisi data desa atau kelurahan.",323
347,2024,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 95/5/SK/HK.01/04/2024,BPNT,Apa tugas utama Pusat Data dalam pelaksanaan Program Sembako?,Pusat data menerima dan memverifikasi data calon KPM dari bupati atau wali kota melalui SIKSNG. Pusat data memastikan kelayakan data sebelum diteruskan ke pengampu. Pusat data menginput data KPM ke OM SPAN dan menyediakan dashboard pemantauan penyaluran bantuan.,323
348,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Bagaimana proses penetapan calon peserta PKH dilakukan?,"Penetapan calon peserta PKH dilakukan dengan menentukan wilayah kepesertaan dan jumlah KPM berdasarkan provinsi, kabupaten kota, dan kecamatan. Data kemiskinan dan kesiapan pemerintah daerah menjadi pertimbangan. Keputusan akhir ditetapkan oleh direktur pelaksana PKH.",323
349,2023,Peraturan Menteri Sosial Republik Indonesia Nomor 7 Tahun 2023,DTKS,Dari mana sumber pembiayaan pelaksanaan Program PENA berasal?,"Sumber pembiayaan pelaksanaan program bantuan sosial berasal dari APBN, APBD, dan sumber biaya lain yang sah dan tidak mengikat sesuai dengan ketentuan peraturan perundang undangan, seperti csr perusahaan, dana hibah, atau program kemitraan dari lembaga keuangan.",324
350,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Bagaimana proses validasi data calon penerima PKH dilakukan?,"Validasi data dilakukan dengan mencocokkan data awal calon penerima PKH dengan bukti kondisi terkini berdasarkan komponen kesehatan, pendidikan, dan kesejahteraan sosial. Data awal diperoleh dari proses penetapan calon peserta dan diperiksa oleh pendamping sosial.",324
351,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Siapa yang melakukan pendampingan untuk lansia dan penyandang disabilitas berat?,"Pendampingan untuk lansia dilakukan oleh pendamping sosial dari direktorat rehabilitasi sosial lansia, sedangkan untuk penyandang disabilitas berat oleh pendamping sosial dari direktorat rehabilitasi sosial penyandang disabilitas.",310
352,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Bagaimana proses verifikasi yang dilakukan oleh bank penyalur terhadap KPM PKH?,"Bank penyalur mencocokkan data KKS dengan dokumen kependudukan KPM. Jika data sesuai, KPM menandatangani formulir pembukaan rekening dan menerima KKS serta buku tabungan. Jika ada kesalahan data, bank melaporkan ke unit kerja PKH untuk perbaikan.",325
353,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Bagaimana Kemensos melakukan perbaikan data kependudukan terkait DTKS?,"Kemensos memperbaiki data kependudukan melalui web service, web portal, atau langsung ke dirjen dukcapil kemendagri. Perbaikan juga menggunakan sumber sah lain seperti kementerian lembaga dan mitra kerja. Perbaikan dilakukan berkala atau sesuai kebutuhan.",325
354,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Berapa besar dana Bantuan ATENSI Anak Yatim Piatu dan untuk apa penggunaannya?,"Dana bantuan atensi anak yatim piatu sebesar Rp200.000 per bulan. Dana digunakan untuk kebutuhan dasar anak seperti pakaian, perlengkapan ibadah, kesehatan, pendidikan melalui buku atau kursus keterampilan, kebersihan diri, dan tabungan pendidikan.",326
355,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Bagaimana cara penyampaian usulan bantuan sosial dan PBI dari DTKS?,Usulan disampaikan melalui akun petugas kabupaten kota yang memiliki hak akses. Usulan harus dilengkapi surat pengesahan dan lampiran yang ditandatangani bupati atau wali kota atau pejabat berwenang. Usulan dapat disetujui atau ditolak oleh pejabat berwenang.,326
356,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 30/4/HK.01/2/2024,PERMAKANAN,Bagaimana cara pemantauan dan evaluasi program Bantuan Permakanan ODHIV dengan metode uji petik lapangan dilakukan?,Metode uji petik lapangan digunakan untuk validasi data dari aplikasi SIKSMA. Tim pemantauan mengunjungi lokasi penyaluran bantuan permakanan ODHIV untuk memastikan makanan diterima dan distribusi sesuai standar.,327
357,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Apa itu Aparat Pengawasan Intern Pemerintah atau APIP pada program ATENSI?,"Apip adalah instansi pemerintah yang bertugas melakukan pengawasan. Apip meliputi badan pengawasan keuangan dan pembangunan, inspektorat jenderal, instansi fungsional pengawasan intern, inspektorat daerah provinsi, dan inspektorat daerah kabupaten kota.",327
358,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 30/4/HK.01/2/2024,PERMAKANAN,Dalam kondisi apa penggantian data penerima Bantuan Permakanan bagi ODHIV dapat dilakukan?,"Penggantian data penerima bantuan permakanan dapat dilakukan jika masih ada anggaran dan sasaran penerima, serta penerima berhenti karena meninggal dunia, menolak atas permintaan sendiri, pindah domisili, atau tidak lagi memenuhi kriteria.",329
359,2021,Peraturan Menteri Sosial Republik Indonesia Nomor 3 Tahun 2021,DTKS,Bagaimana cara penggunaan DTKS untuk penyaluran bantuan sosial?,"Penggunaan DTKS untuk penyaluran bantuan sosial melalui aplikasi SIKSNG yang dikelola satuan kerja pengelola data. Penyaluran dilakukan oleh mitra penyalur seperti bank, pos, atau pihak lain yang bekerja sama dengan unit kerja eselon i melalui perjanjian kerja sama.",329
360,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Data apa yang akan dihapus dari penetapan DTKS?,"Penghapusan data yang dihapus dari penetapan DTKS terdiri atas data padan dengan data dirjen dukcapil kemendagri yang terkonfirmasi data ganda. Data yang telah dinyatakan meninggal, dan masuk dalam kriteria yang tidak layak menerima program bantuan sosial dan PBI jaminan kesehatan.",329
361,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Bagaimana peran Tim Koordinasi Teknis PKH di tingkat pusat dalam mendukung pelaksanaan PKH?,"Tim koordinasi teknis PKH pusat beranggotakan pejabat eselon ii dari kementerian lembaga terkait. Tugasnya meliputi mengkaji rencana operasional, melakukan koordinasi lintas sektor, menentukan sasaran KPM, dan mengawasi pelaksanaan program.",331
362,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Apa tujuan pengaduan masyarakat terkait pelaksanaan program bantuan sosial?,Pengaduan masyarakat bertujuan menjamin transparansi dan akuntabilitas pelaksanaan program bantuan sosial. Pengaduan ditangani berjenjang sesuai peraturan dengan prinsip keterbukaan. Hasil penyelesaian disampaikan kepada pelapor sebagai pertanggungjawaban.,331
363,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Siapa yang terlibat dalam pengendalian penyaluran Bantuan ATENSI Anak Yatim Piatu dan apa perannya?,Apip melakukan audit. Direktorat rehabilitasi sosial anak mengelola bantuan utama. Bank penyalur memastikan transaksi lancar. dinas sosial provinsi dan kabupaten kota memantau di daerah. Pendamping sosial mendampingi penerima bantuan.,333
